REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,848.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,884.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1009.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1192.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,909.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1111.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1281.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,884.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1003.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1097.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,746.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,899.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1024.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1142.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,766.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,932.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1132.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1320.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,922.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1130.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1286.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,766.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,932.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1132.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
