REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Bachelor units,v3822932,8.3.1,493.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,One bedroom units,v3823066,8.3.2,495.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Two bedroom units,v3823200,8.3.3,717.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row and apartment structures of three units and over,Three bedroom units,v3823334,8.3.4,720.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row structures of three units and over,One bedroom units,v3823602,8.2.2,390.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row structures of three units and over,Two bedroom units,v3823736,8.2.3,772.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Row structures of three units and over,Three bedroom units,v3823870,8.2.4,716.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Bachelor units,v3824004,8.1.1,540.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,One bedroom units,v3824138,8.1.2,534.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Two bedroom units,v3824272,8.1.3,707.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of three units and over,Three bedroom units,v3824406,8.1.4,735.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,One bedroom units,v3824777,8.4.2,568.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,Two bedroom units,v3824965,8.4.3,730.0,Summerside,Prince Edward Island
2012,"Summerside, Prince Edward Island",2011S0504110,Apartment structures of six units and over,Three bedroom units,v3825153,8.4.4,747.0,Summerside,Prince Edward Island
2012,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Bachelor units,v3822871,9.3.1,526.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,One bedroom units,v3823005,9.3.2,580.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Two bedroom units,v3823139,9.3.3,712.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Row and apartment structures of three units and over,Three bedroom units,v3823273,9.3.4,826.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Row structures of three units and over,Two bedroom units,v3823675,9.2.3,720.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Bachelor units,v3823943,9.1.1,526.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,One bedroom units,v3824077,9.1.2,580.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Two bedroom units,v3824211,9.1.3,712.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of three units and over,Three bedroom units,v3824345,9.1.4,826.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,Bachelor units,v3824479,9.4.1,524.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,One bedroom units,v3824667,9.4.2,593.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,Two bedroom units,v3824855,9.4.3,757.0,Cape Breton,Nova Scotia
2012,"Cape Breton, Nova Scotia",2011S0504225,Apartment structures of six units and over,Three bedroom units,v3825043,9.4.4,980.0,Cape Breton,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Row and apartment structures of three units and over,One bedroom units,v53843654,209.3.2,537.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Row and apartment structures of three units and over,Two bedroom units,v53843694,209.3.3,767.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Row and apartment structures of three units and over,Three bedroom units,v53843734,209.3.4,754.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Apartment structures of three units and over,One bedroom units,v53843974,209.1.2,537.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Apartment structures of three units and over,Two bedroom units,v53844014,209.1.3,762.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Apartment structures of three units and over,Three bedroom units,v53844054,209.1.4,754.0,East Hants,Nova Scotia
2012,"East Hants, Nova Scotia",2011A00051208008,Apartment structures of six units and over,Two bedroom units,v53844174,209.4.3,807.0,East Hants,Nova Scotia
2012,"Halifax, Nova Scotia",2011S0503205,Row and apartment structures of three units and over,Bachelor units,v3822817,10.3.1,690.0,Halifax,Nova Scotia
